Gender,Age,Average Weekly Exercise Hours,Health Consciousness Rating,Average Daily Screen Time,Social Media Influence Score,Number of Professional Trainings Attended,Eco-Consciousness Metric,Stress Management Score,Time Management Skill,Lifestyle Choice
2,46,1.9419,0.6829,1.9151,4.7647,2.2168,1.6284,3.3198,11.1638,Fitness Enthusiast
2,21,0.0305,0.7476,2.7277,5.5626,4.8019,0.0279,5.2228,84.0161,Eco-Friendly
1,24,0.4232,0.5447,0.6469,10.6741,3.945,0.0028,2.9626,32.8837,Fitness Enthusiast
2,26,0.5989,0.135,3.6538,14.6751,0.5927,0.0069,3.4991,0.4975,Fitness Enthusiast
1,36,0.1111,0.8007,5.7661,4.9291,4.7425,0.0379,4.5614,98.56,Health-Conscious
1,41,0.1217,3.6857,4.9869,6.171,5.6295,0.012,1.3564,97.1501,Social Media Influencer
1,34,0.0598,5.1944,5.905,2.4075,2.4784,0.0308,3.9361,12.0289,Health-Conscious
2,51,0.2071,4.2689,4.7659,7.834,4.6224,0.0194,4.2109,90.9358,Health-Conscious
2,48,0.0522,2.8645,4.6863,1.5234,4.3051,0.0171,2.019,77.9709,Fitness Enthusiast
1,43,0.1081,1.3166,6.485,3.3833,3.4625,0.0237,4.4427,39.6967,Health-Conscious
2,65,0.021,0.7134,4.8425,4.427,6.8679,0.0107,3.764,100.9024,Eco-Friendly
2,28,0.1114,1.1461,6.8251,6.1001,3.1284,0.0209,5.254,30.6776,Health-Conscious
2,42,0.0233,0.5912,3.8495,2.2002,2.8133,0.0043,2.0235,21.434,Eco-Friendly
2,23,2.8193,1.0776,1.6361,7.2603,2.5953,0.0087,2.2726,12.5504,Fitness Enthusiast
2,25,0.0742,1.6989,2.433,3.3479,3.4807,0.0126,4.5449,24.5204,Health-Conscious
1,49,0.022,2.0735,5.6119,3.0911,4.0894,0.0406,4.2909,70.9253,Health-Conscious
2,35,0.024,3.2441,4.2155,11.9522,5.0029,0.0516,5.8343,94.4195,Social Media Influencer
2,34,0.0558,3.1148,5.112,1.0501,4.6304,0.0146,2.249,93.4262,Health-Conscious
2,34,0.2661,0.6749,6.9724,1.8419,3.455,1.141,1.5182,38.7049,Health-Conscious
2,47,0.0038,0.7615,3.5918,3.0715,8.0479,0.0074,2.8031,102.7351,Eco-Friendly
2,23,0.0202,6.2546,2.026,5.024,3.8245,0.0241,2.5955,31.1684,Health-Conscious
2,31,0.1639,0.7925,8.2014,6.4831,3.381,0.0271,3.3955,40.116,Health-Conscious
1,37,0.0666,0.796,4.984,4.0572,5.428,0.0054,3.5717,98.9946,Eco-Friendly
1,26,0.795,2.1329,3.9345,10.5009,4.693,0.025,2.9087,88.8448,Fitness Enthusiast
1,34,0.5433,0.6448,4.8211,3.6539,2.7413,0.9668,3.626,22.4972,Eco-Friendly
2,25,0.0148,0.761,6.5613,3.6039,2.4288,0.0171,3.1759,16.0514,Eco-Friendly
2,45,0.5957,0.5914,7.0016,12.1652,4.4477,1.6974,4.9273,74.0133,Fitness Enthusiast
1,32,0.3017,0.2963,6.3927,15.537,4.2365,0.0105,2.5054,81.094,Fitness Enthusiast
2,29,0.0133,3.1924,2.4955,1.2936,4.8864,0.0251,2.512,86.4509,Health-Conscious
2,27,0.0066,0.6891,3.1456,2.2474,2.9132,0.025,2.1686,16.7102,Health-Conscious
1,46,0.0787,0.8029,9.222,11.7778,2.3158,0.0253,5.6165,16.9394,Health-Conscious
2,42,0.0247,0.9111,1.1363,5.2209,4.8915,0.9721,6.0241,57.2324,Health-Conscious
1,57,0.1238,3.86,4.1303,8.5964,2.1575,0.0088,3.207,9.3511,Social Media Influencer
1,41,0.1747,0.6562,6.6068,5.153,2.8284,0.0173,3.5464,25.5851,Health-Conscious
1,33,0.036,0.7186,4.8852,2.8795,4.1649,0.3367,2.9035,63.2082,Eco-Friendly
2,56,0.0738,2.2952,1.4106,5.3569,4.6747,0.0061,1.705,71.8435,Eco-Friendly
2,49,0.1098,4.191,3.5057,3.566,3.5437,0.0186,4.1107,31.8651,Health-Conscious
2,51,0.0309,0.6769,5.342,3.1074,0.651,0.0236,1.2953,1.4755,Eco-Friendly
1,23,0.1205,2.2609,8.3032,3.4287,3.6494,0.0054,4.0212,51.3172,Health-Conscious
1,44,0.2133,3.7275,3.0681,3.4327,5.4451,0.0071,3.1043,97.7649,Fitness Enthusiast
1,41,0.0654,1.4317,7.9498,2.7852,6.1687,0.0145,4.4739,99.1097,Health-Conscious
2,48,0.0001,0.662,6.1382,5.2283,3.3584,0.0175,3.4792,35.9605,Eco-Friendly
2,27,0.0779,0.5999,3.4095,7.7971,3.6731,1.6443,2.5847,39.7555,Eco-Friendly
2,24,0.0328,0.6843,1.853,4.5873,3.9663,0.0004,4.0174,41.7971,Eco-Friendly
2,57,1.6278,0.5506,0.553,6.296,2.9207,0.0398,2.821,12.6168,Fitness Enthusiast
1,37,0.0024,0.6662,3.028,3.8447,3.305,0.0229,4.3567,28.4444,Eco-Friendly
1,41,0.164,4.1605,3.2297,15.8908,4.8339,0.0224,1.7866,88.4561,Social Media Influencer
2,36,0.3158,0.7748,5.3683,4.3137,2.16,0.0075,4.3527,10.7127,Health-Conscious
2,24,0.0017,3.9665,2.9599,4.4078,2.8924,0.0027,4.4194,15.1177,Health-Conscious
2,52,0.065,0.7771,2.5545,5.1033,2.614,0.0158,4.9569,12.4481,Eco-Friendly
1,29,0.0816,0.6032,1.5641,16.1484,3.7213,0.021,1.7937,35.8162,Social Media Influencer
1,24,1.3216,4.5092,0.8826,12.0717,4.6515,0.0306,2.704,63.345,Fitness Enthusiast
2,24,0.3907,0.6135,9.3675,5.9661,0.4832,0.739,4.6873,1.7993,Eco-Friendly
1,33,2.2387,3.0018,6.0333,10.9168,4.3935,0.8362,2.8853,71.554,Fitness Enthusiast
1,28,0.0866,0.6926,2.7529,3.9109,1.3051,0.0025,3.4921,6.7889,Social Media Influencer
1,20,0.117,3.8373,8.0276,3.0845,1.954,0.0045,4.5261,7.9706,Fitness Enthusiast
1,33,0.4832,0.6154,4.4959,5.5115,2.3795,0.8129,4.6415,18.5307,Eco-Friendly
1,44,0.0513,4.3514,3.6631,3.0322,2.783,0.0154,3.7105,15.214,Health-Conscious
1,60,0.1677,6.6754,3.2132,1.3529,3.7156,0.0126,2.4343,34.638,Health-Conscious
2,26,0.1957,1.8854,3.9071,9.5742,2.8737,0.0007,3.1381,19.0093,Health-Conscious
2,43,0.0764,0.4721,4.8661,15.841,4.9025,0.0011,2.7732,89.3475,Health-Conscious
1,29,0.0052,0.7901,1.1525,2.877,0.3073,0.012,1.6144,0.8599,Eco-Friendly
2,41,0.2148,5.7662,3.447,4.3972,3.8836,0.0204,4.7745,42.2532,Fitness Enthusiast
1,37,0.068,1.2146,1.7911,9.0302,3.6836,0.0189,2.514,27.8063,Social Media Influencer
2,28,0.1723,0.5574,5.1175,17.4162,4.4536,0.0007,3.5285,85.7605,Health-Conscious
2,23,0.3849,0.3564,3.9763,19.183,1.388,0.0219,2.1043,4.9939,Fitness Enthusiast
2,37,0.0135,3.9116,3.1222,9.4983,4.0711,0.048,6.0605,49.8339,Social Media Influencer
1,37,0.0695,0.7108,4.0534,1.0961,2.6994,0.0001,1.176,13.416,Eco-Friendly
2,19,0.0199,0.8337,2.044,9.4387,4.1598,0.0155,4.347,52.2816,Social Media Influencer
1,24,0.0167,3.2877,4.293,1.5144,3.1238,0.0173,3.0162,23.5503,Health-Conscious
2,27,0.084,0.7894,4.8791,3.2934,3.8681,0.005,3.0766,54.2338,Health-Conscious
1,49,1.6958,0.6865,5.4579,3.9682,1.0952,0.0036,3.1697,2.5539,Fitness Enthusiast
2,35,0.0332,0.6794,5.4603,3.7034,4.2106,0.0235,2.7034,77.0541,Eco-Friendly
2,33,0.0897,2.8114,2.4493,4.9513,1.8186,0.0136,5.6749,5.5211,Health-Conscious
2,58,0.0089,0.8731,3.6272,5.4279,3.714,0.023,2.5765,47.9924,Social Media Influencer
1,34,2.5042,0.6635,4.389,1.6163,2.3375,0.0277,1.4444,11.3938,Social Media Influencer
1,43,0.1971,0.8121,5.9319,4.6026,2.8475,0.0301,4.9158,25.6286,Health-Conscious
1,19,0.0813,2.7793,7.5562,1.8496,3.7176,0.0298,2.7334,50.9584,Health-Conscious
1,43,0.0281,0.7031,3.8214,3.8744,1.7596,0.01,3.6248,4.7145,Eco-Friendly
1,23,0.002,0.6966,7.7238,4.9073,5.1846,1.3217,4.7303,97.6801,Eco-Friendly
2,27,0.0569,3.8425,1.2908,3.1016,2.3624,0.031,4.9849,7.3101,Health-Conscious
2,40,0.0484,0.7763,5.2823,3.6572,3.553,0.0024,3.4936,43.4036,Eco-Friendly
2,33,0.0604,3.0301,4.2179,2.8309,1.2039,0.0069,4.5202,2.1445,Health-Conscious
2,34,1.2876,0.7027,5.7509,10.9166,3.9995,1.2345,3.6177,57.0522,Fitness Enthusiast
2,31,0.094,3.9681,5.0464,2.8313,2.3936,0.0042,3.6739,12.605,Health-Conscious
1,43,0.0123,1.1898,3.0376,3.8187,5.7651,0.4956,4.4719,95.3608,Health-Conscious
1,48,0.0008,0.7076,6.8454,4.2098,1.6388,0.0111,3.2216,8.0706,Health-Conscious
1,43,2.0367,1.5927,3.8794,5.8537,3.1698,1.4742,3.3276,30.6361,Health-Conscious
1,40,1.6767,0.0723,3.5647,10.1375,3.9144,0.3797,2.5241,50.9959,Fitness Enthusiast
1,28,0.0094,0.7454,1.3429,3.2543,3.0549,0.0074,3.0911,25.3684,Social Media Influencer
1,38,1.5218,1.4664,5.313,14.7245,2.3232,0.0084,1.5965,16.3233,Eco-Friendly
1,24,0.0117,1.4341,6.6929,2.7101,2.9685,0.0054,3.1497,23.9709,Health-Conscious
1,26,0.2601,0.7793,2.6724,2.0131,4.1872,0.0125,1.9225,74.2615,Eco-Friendly
1,36,0.0559,0.635,4.3285,4.4206,1.3476,0.0036,3.3123,4.2343,Eco-Friendly
1,43,0.0134,0.7891,2.3426,1.393,3.122,0.0162,1.1222,20.0651,Eco-Friendly
1,29,0.1752,4.9208,2.9926,4.4104,3.156,0.003,5.4173,22.3103,Health-Conscious
1,37,0.0934,0.5581,8.2653,12.5499,2.6972,0.0038,3.2581,22.1764,Health-Conscious
1,52,0.2834,1.1358,6.5284,12.5181,3.1878,0.026,4.3444,33.7446,Health-Conscious
2,25,0.0176,0.778,7.023,4.22,2.0787,0.0216,4.4828,8.5307,Health-Conscious
1,36,0.213,0.5581,3.2828,8.6905,4.0389,0.0016,1.8529,64.8388,Social Media Influencer
1,44,0.0323,0.8053,9.7003,4.794,2.5994,0.042,3.4321,21.1208,Health-Conscious
2,53,1.5186,0.7202,4.3751,5.1263,0.6792,0.0364,3.3301,2.367,Fitness Enthusiast
1,43,2.1569,0.5208,3.8354,2.992,4.5796,0.9066,2.5855,70.7126,Fitness Enthusiast
2,37,2.483,0.0141,5.5043,11.1379,2.4979,1.0511,2.5563,18.4885,Fitness Enthusiast
1,29,0.0589,0.7769,4.8005,2.0432,3.9107,0.0199,1.6815,57.4365,Eco-Friendly
1,34,1.26,2.1259,0.1678,17.3356,4.439,0.0135,3.3586,46.5235,Fitness Enthusiast
1,45,2.2505,1.3159,5.8404,9.8961,3.3967,0.7386,2.3868,38.1034,Fitness Enthusiast
2,19,0.0523,0.805,5.7972,3.1311,3.9545,1.2509,2.4791,54.4018,Health-Conscious
2,52,0.2078,0.7171,0.1962,6.2964,3.0201,1.4424,1.9065,15.1161,Fitness Enthusiast
2,57,0.0248,0.6217,2.8255,14.8113,3.6508,0.0445,5.1989,33.7955,Health-Conscious
1,42,0.575,0.7427,7.5813,4.5539,3.804,0.0383,4.2551,56.9648,Eco-Friendly
2,57,0.0715,0.913,1.3484,3.4348,2.5797,0.0174,3.4097,11.1369,Social Media Influencer
1,22,0.1445,1.2455,4.3053,10.2661,4.5968,0.0044,8.181,83.4713,Health-Conscious
1,27,2.2002,3.296,3.8737,15.6165,3.4808,1.1163,2.3901,35.5311,Fitness Enthusiast
2,28,0.0384,0.7095,5.8036,4.8151,4.143,0.0014,4.1828,71.7501,Eco-Friendly
2,39,0.1211,4.5084,3.6606,2.6117,4.9984,0.0091,4.0645,95.6433,Health-Conscious
1,39,0.0393,1.2323,6.1283,8.0045,3.2321,0.0079,1.2696,31.3005,Eco-Friendly
1,73,0.0692,0.8953,6.1918,5.8097,2.7337,0.0007,1.079,20.6427,Social Media Influencer
2,32,1.1335,4.2282,2.7168,9.1073,4.5382,1.1566,2.8745,57.7326,Fitness Enthusiast
1,38,0.0428,0.8102,6.312,6.3114,1.6427,0.0252,3.8859,8.9103,Health-Conscious
1,36,0.0505,0.6885,3.6068,4.0435,3.4739,0.4271,4.4299,34.8515,Health-Conscious
2,19,0.0009,1.4613,2.5329,12.4308,3.8785,0.0004,1.3716,39.7549,Social Media Influencer
2,43,0.0099,3.2114,4.6526,3.3871,3.7817,0.024,5.6351,45.7496,Health-Conscious
1,41,1.7201,4.5415,5.5862,9.0606,3.4301,0.0053,2.1035,35.4464,Fitness Enthusiast
1,43,0.1115,5.0192,4.4533,2.8379,4.544,0.0394,4.6556,87.4586,Health-Conscious
1,32,0.0538,0.7329,1.7008,2.7112,3.8422,0.0099,2.5283,52.9437,Social Media Influencer
1,29,0.1573,0.8914,7.964,2.1842,6.6056,0.0027,2.7402,100.0031,Eco-Friendly
2,24,0.848,0.7743,3.3441,3.058,1.6603,0.0027,2.6908,4.7334,Health-Conscious
1,35,0.0623,3.1915,4.5124,2.3379,1.9234,0.0132,3.4049,9.314,Health-Conscious
2,50,0.0313,0.7501,1.962,3.6796,3.5863,0.0024,3.4746,26.4032,Health-Conscious
1,20,0.0354,0.8219,9.4556,3.7795,6.1154,0.0214,3.4169,100.5307,Eco-Friendly
1,38,0.0658,0.7466,9.1398,5.3769,3.3552,0.0179,3.7809,43.16,Eco-Friendly
1,39,0.0142,0.7727,4.0731,2.3917,3.2165,0.0262,2.058,27.792,Eco-Friendly
2,57,0.9119,0.004,6.0011,15.3174,0.4854,0.0116,2.4844,2.8609,Fitness Enthusiast
2,40,0.0207,0.6402,1.9009,5.2969,4.3582,0.3394,3.5198,54.529,Eco-Friendly
2,29,0.6638,1.5012,6.3611,10.3854,3.2025,0.0096,2.7593,30.3042,Fitness Enthusiast
2,33,0.0243,0.8434,3.9832,2.2905,4.9692,0.0153,1.9317,97.9858,Eco-Friendly
2,49,0.0283,1.633,8.5651,3.4098,1.6891,0.0464,3.8421,4.1647,Fitness Enthusiast
2,31,0.0612,5.628,5.5256,3.2151,2.7035,0.0239,4.2358,17.8839,Health-Conscious
2,54,0.0355,0.6302,10.0097,13.4225,0.0176,0.0329,2.6016,2.5849,Social Media Influencer
1,41,0.0991,1.1487,6.8798,3.8289,2.7201,0.0342,3.8176,19.2057,Health-Conscious
1,37,0.0397,4.1151,7.3526,3.1984,2.0123,0.0268,4.4786,8.7404,Health-Conscious
1,21,1.8101,0.3702,1.5744,19.3158,4.5969,0.0284,2.7003,77.4174,Social Media Influencer
2,25,0.077,0.9016,6.2379,9.2682,3.3061,0.0225,5.728,35.915,Health-Conscious
1,28,0.3136,4.0972,5.8374,10.2947,4.3813,0.0393,4.8273,79.538,Health-Conscious
1,45,0.1011,0.7908,2.1446,3.3836,4.7021,0.0066,3.5714,83.5618,Eco-Friendly
2,19,0.0334,6.5346,8.0821,3.5429,4.2511,0.0237,4.8671,84.8243,Health-Conscious
1,35,0.1269,5.1391,1.2937,1.8699,3.1729,0.0197,4.5324,15.7812,Health-Conscious
2,28,1.0609,2.8689,7.0545,12.9181,3.8749,0.784,3.5545,55.1602,Fitness Enthusiast
1,29,0.0391,0.7787,7.6372,4.0239,2.748,0.0103,3.9257,19.1451,Fitness Enthusiast
2,19,0.0926,0.743,5.1227,2.8402,4.7652,0.0202,2.1935,98.9938,Health-Conscious
2,20,0.1456,5.327,2.252,1.9865,2.1257,0.023,3.0789,7.7747,Health-Conscious
2,42,0.0743,0.7125,7.2263,4.6196,2.6393,0.0027,4.7251,22.3546,Eco-Friendly
2,40,0.086,2.9705,4.7979,3.5001,3.8229,0.0126,5.3676,47.0962,Health-Conscious
2,31,0.0151,0.7632,6.7633,4.1229,1.0041,0.0111,3.3387,2.8689,Eco-Friendly
1,25,0.0484,0.9055,4.2153,11.9525,3.1067,0.0202,3.8605,25.5646,Social Media Influencer
1,24,0.0459,0.7354,2.816,2.4246,1.3245,0.0203,2.578,2.8454,Health-Conscious
2,23,2.379,3.0099,4.7126,14.529,5.8553,0.9012,2.8651,106.061,Fitness Enthusiast
1,33,0.2811,0.7971,7.0786,4.2471,1.0071,0.0178,2.9904,6.4846,Social Media Influencer
2,29,0.5768,3.1792,2.6778,7.4715,3.585,0.0025,1.7142,30.4815,Fitness Enthusiast
1,21,0.1247,5.1138,4.5672,3.5597,3.9705,0.0237,5.1053,53.9588,Health-Conscious
1,63,0.2615,0.755,3.6072,14.0462,3.9561,0.011,3.8165,52.305,Health-Conscious
2,26,0.0597,3.4005,8.334,4.37,2.8953,0.0012,5.7323,28.5977,Health-Conscious
2,26,0.0185,0.7842,4.516,1.8412,2.4819,0.0065,1.7949,14.6754,Eco-Friendly
1,20,0.0717,3.2653,6.7123,3.2188,3.3523,0.0062,5.0844,34.2814,Health-Conscious
1,35,2.6366,1.1401,6.1527,8.2618,3.2945,0.6903,2.617,36.12,Fitness Enthusiast
1,58,0.0936,0.7904,5.0682,1.0533,5.0634,0.0235,1.1772,98.394,Eco-Friendly
1,30,0.0794,0.7774,5.6308,3.1982,4.4131,0.0159,3.2344,91.0987,Eco-Friendly
2,40,0.0164,0.7912,1.5931,2.662,3.1089,0.0312,2.6652,24.8836,Eco-Friendly
2,21,1.7141,1.5412,3.658,10.8806,3.2095,0.8641,2.7641,27.7945,Fitness Enthusiast
2,24,3.0338,0.2169,7.0677,9.507,3.3242,0.5328,3.654,39.8606,Fitness Enthusiast
1,23,0.443,2.3127,7.6345,29.3142,2.7516,0.0292,2.5249,24.3845,Social Media Influencer
1,43,2.8252,0.3098,2.0936,7.8654,5.1197,0.961,3.1656,79.9029,Fitness Enthusiast
1,45,0.0505,1.7985,5.3928,2.2521,5.4405,0.0147,1.2966,99.7308,Fitness Enthusiast
2,34,0.2315,0.8808,6.3967,1.9619,4.9075,0.0084,2.0722,97.8993,Eco-Friendly
1,35,0.3217,0.299,4.0233,15.3289,2.5671,0.007,2.6496,14.126,Health-Conscious
2,36,0.1449,4.6535,6.1944,5.0721,2.8517,0.011,5.0358,24.2086,Fitness Enthusiast
1,25,1.7573,1.1022,4.2871,14.7345,1.2754,0.2921,3.0962,4.991,Fitness Enthusiast
1,38,0.1206,1.1895,6.286,3.4246,4.8564,0.0066,3.7932,102.0166,Health-Conscious
2,45,0.1895,0.805,2.5315,4.9428,4.7143,0.0186,4.3326,92.4478,Eco-Friendly
2,45,0.058,0.7289,4.4584,3.7251,3.4676,0.0087,3.1659,35.2757,Eco-Friendly
1,28,0.0362,0.6872,1.7776,4.574,4.7321,0.0178,3.0667,81.5941,Eco-Friendly
2,43,0.0282,0.7142,4.1996,4.5896,3.5357,0.0074,3.733,36.5754,Eco-Friendly
1,31,0.3847,0.6113,6.1041,5.1713,3.9642,0.8817,4.4565,58.302,Eco-Friendly
1,47,1.0031,0.5596,2.1573,6.5359,3.5478,0.0007,2.468,30.3667,Social Media Influencer
2,22,0.1461,3.4518,6.0723,3.3786,4.5435,0.0197,4.9444,95.5561,Health-Conscious
1,72,0.1113,0.9137,4.4924,5.8521,4.0177,0.0131,3.4579,58.7652,Health-Conscious
1,20,0.2999,0.7378,7.949,6.0784,2.9641,0.0007,5.1233,28.8682,Eco-Friendly
1,37,0.0649,1.6716,6.9018,6.3616,3.3031,0.0256,4.0066,34.9127,Health-Conscious
1,21,0.0454,0.8121,3.7975,3.4381,3.5416,0.0159,3.197,33.9677,Eco-Friendly
1,31,0.1002,3.22,6.8043,6.2038,4.6424,0.0491,5.6537,96.7326,Social Media Influencer
1,41,0.6755,2.1496,2.0626,14.7413,3.4454,0.0303,3.1895,28.319,Health-Conscious
2,50,0.0622,0.7156,5.6642,5.1478,3.4744,0.0163,4.8968,40.0674,Health-Conscious
1,38,0.0922,3.5439,7.0806,3.9528,2.5063,0.0127,5.5746,18.2319,Health-Conscious
1,23,0.0971,0.7068,2.2241,2.5713,3.1295,0.0101,1.1826,20.9846,Eco-Friendly
1,29,0.0679,0.8197,1.6053,4.3667,1.8969,0.0016,3.5764,6.2959,Eco-Friendly
2,49,0.0553,0.8015,5.2141,1.744,4.5333,0.003,1.3845,91.2195,Eco-Friendly
1,19,0.1258,0.8493,6.5477,6.7769,2.5883,0.0086,4.1365,18.6767,Health-Conscious
1,24,0.3468,0.7076,2.4071,3.4191,3.4275,0.0108,2.7039,30.5949,Fitness Enthusiast
2,30,0.0215,0.7142,4.0374,4.137,4.439,0.0122,3.8839,79.4166,Eco-Friendly
2,31,0.0797,3.721,4.0123,3.1221,3.7058,0.026,4.4874,39.4271,Health-Conscious
